Species,PlotID,Date,Year,Replicate,Birds,Nests
PECO,7E,7/1/1990,1990,5,0,0
PECO,7F,7/1/1990,1990,5,0,0
PECO,7G,7/1/1990,1990,5,0,0
PECO,7H,7/1/1990,1990,5,0,0
PECO,7.1 A,7/1/1990,1990,5,0,0
PECO,8,7/1/1990,1990,5,0,0
PECO,9,7/1/1990,1990,5,5,3
PECO,10A,7/1/1990,1990,5,0,0
PECO,10B,7/1/1990,1990,5,11,10
PECO,10C,7/1/1990,1990,5,9,3
PECO,10DEF,7/1/1990,1990,5,8,8
PECO,10G,7/1/1990,1990,5,6,6
PECO,10H,7/1/1990,1990,5,6,7
PECO,10I,7/1/1990,1990,5,1,1
PECO,11,7/1/1990,1990,5,0,0
PECO,12,7/1/1990,1990,5,7,6
PECO,13A,7/1/1990,1990,5,1,0
PECO,13B,7/1/1990,1990,5,0,0
PECO,14,7/1/1990,1990,5,10,8
PECO,15A,7/1/1990,1990,5,16,13
PECO,15B,7/1/1990,1990,5,2,3
BLKI,18,7/6/1990,1990,6,2,9
BLKI,1,7/6/1990,1990,6,21,20
BLKI,2,7/6/1990,1990,6,0,0
BLKI,2A,7/6/1990,1990,6,6,8
BLKI,3A,7/6/1990,1990,6,4,8
BLKI,3C,7/6/1990,1990,6,0,0
BLKI,4,7/6/1990,1990,6,22,23
BLKI,5A,7/6/1990,1990,6,0,0
BLKI,5B,7/6/1990,1990,6,19,32
BLKI,6A,7/6/1990,1990,6,6,4
BLKI,6B,7/6/1990,1990,6,8,10
BLKI,7A,7/6/1990,1990,6,15,26
BLKI,7B,7/6/1990,1990,6,79,79
BLKI,7C,7/6/1990,1990,6,0,0
BLKI,7D,7/6/1990,1990,6,41,38
BLKI,7E,7/6/1990,1990,6,29,36
BLKI,7F,7/6/1990,1990,6,0,0
BLKI,7G,7/6/1990,1990,6,0,0
BLKI,7H,7/6/1990,1990,6,46,46
BLKI,7.1 A,7/6/1990,1990,6,54,61
BLKI,8,7/6/1990,1990,6,72,88
BLKI,9,7/6/1990,1990,6,123,131
BLKI,10A,7/6/1990,1990,6,95,105
BLKI,10B,7/6/1990,1990,6,50,51
BLKI,10C,7/6/1990,1990,6,94,84
BLKI,10DEF,7/6/1990,1990,6,262,261
BLKI,10G,7/6/1990,1990,6,160,160
BLKI,10H,7/6/1990,1990,6,89,88
BLKI,10I,7/6/1990,1990,6,111,110
BLKI,11,7/6/1990,1990,6,56,56
BLKI,12,7/6/1990,1990,6,95,102
BLKI,13A,7/6/1990,1990,6,30,30
BLKI,13B,7/6/1990,1990,6,111,112
BLKI,14,7/6/1990,1990,6,60,54
BLKI,15A,7/6/1990,1990,6,151,120
BLKI,15B,7/6/1990,1990,6,12,22
COMU,18,7/6/1990,1990,6,0,
COMU,1,7/6/1990,1990,6,0,
COMU,2,7/6/1990,1990,6,0,
COMU,2A,7/6/1990,1990,6,0,
COMU,3A,7/6/1990,1990,6,0,
COMU,3C,7/6/1990,1990,6,0,
COMU,4,7/6/1990,1990,6,16,
COMU,5A,7/6/1990,1990,6,0,
COMU,5B,7/6/1990,1990,6,0,
COMU,6A,7/6/1990,1990,6,13,
COMU,6B,7/6/1990,1990,6,34,
COMU,7A,7/6/1990,1990,6,2,
COMU,7B,7/6/1990,1990,6,89,
COMU,7C,7/6/1990,1990,6,190,
COMU,7D,7/6/1990,1990,6,23,
COMU,7E,7/6/1990,1990,6,1,
COMU,7F,7/6/1990,1990,6,23,
COMU,7G,7/6/1990,1990,6,46,
COMU,7H,7/6/1990,1990,6,181,
COMU,7.1 A,7/6/1990,1990,6,0,
COMU,8,7/6/1990,1990,6,71,
COMU,9,7/6/1990,1990,6,227,
COMU,10A,7/6/1990,1990,6,266,
COMU,10B,7/6/1990,1990,6,84,
COMU,10C,7/6/1990,1990,6,150,
COMU,10DEF,7/6/1990,1990,6,951,
COMU,10G,7/6/1990,1990,6,227,
COMU,10H,7/6/1990,1990,6,402,
COMU,10I,7/6/1990,1990,6,341,
COMU,11,7/6/1990,1990,6,0,
